college,team_changed_at,team,first_name,full_name,birth_state,birth_date,swish_id,search_last_name,age,team_abbr,injury_start_date,metadata,active,gsis_id,injury_notes,opta_id,news_updated,sport,depth_chart_order,status,stats_id,number,fantasy_positions,rotowire_id,last_name,search_full_name,oddsjam_id,weight,height,birth_city,search_rank,injury_status,player_id,birth_country,depth_chart_position,years_exp,injury_body_part,practice_participation,pandascore_id,high_school,search_first_name,competitions,fantasy_data_id,position,espn_id,practice_description,yahoo_id,sportradar_id,hashtag,rotoworld_id
UNLV,,,Javin,Javin White,,1997-02-21,881687.0,white,27.0,,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",True,,,,1721609703351.0,nfl,,Active,,60.0,"['DB', 'LB']",14902.0,White,javinwhite,8ADDCA292DD5,211,74,,9999999.0,,7311,,,4.0,,,,McClymonds (CA),javin,[],22303.0,LB,3921709.0,,33318.0,3f95afdc-2140-424b-8250-7d4e273c2efc,#javinwhite-NFL-FA-60,
Clemson,,ARI,Bashaud,Bashaud Breeland,,1992-01-30,560235.0,breeland,30.0,,,{'channel_id': '1116852779298586624'},True, 00-0031052,,,1641345029845.0,nfl,,Active,560235.0,24.0,['DB'],9648.0,Breeland,bashaudbreeland,,197,71,,9999999.0,,2091,,,8.0,,,,Allendale-Fairfax (SC),bashaud,[],16407.0,CB,16890.0,,27630.0,ba905b34-8412-4553-9055-3460368cc608,#bashaudbreeland-NFL-ARI-24,9585.0
Tennessee-Martin,,,Kinkead,Kinkead Dent,,2000-07-27,,dent,24.0,,,"{'channel_id': '1225943136610562048', 'rookie_year': '0'}",True,,,,,nfl,,Active,,,['QB'],,Dent,kinkeaddent,,215,76,,9999999.0,,13175,,,0.0,,,,Jackson Academy (MS),kinkead,[],,QB,,,,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,#kinkeaddent-NFL-FA,
Notre Dame,,DAL,Brandon,Brandon Aubrey,,1995-03-14,1454349.0,aubrey,30.0,,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",True,,,,1753393859162.0,nfl,1.0,Active,,17.0,['K'],17649.0,Aubrey,brandonaubrey,872D94B3727D,218,75,,128.0,,11533,,K,2.0,,,,Plano Senior (TX),brandon,[],,K,,,,110e6fe0-1c34-11ee-8294-af17faac15de,#brandonaubrey-NFL-DAL-17,
Georgia,,,Amarlo,Amarlo Herrera,,1991-09-20,,herrera,28.0,,,,False,,,,,nfl,,Inactive,,56.0,['LB'],10372.0,Herrera,amarloherrera,,249,"6'1""",,9999999.0,,2508,,,5.0,,,,North Clayton,amarlo,[],16967.0,LB,2578542.0,,28595.0,faf5f854-73af-4ab9-8f19-95ea75431d45,#amarloherrera-NFL-FA-56,
Boston College,,,Kasim,Kasim Edebali,,1989-08-17,,edebali,32.0,,,{'channel_id': '1116852786479235072'},True,00-0031255,,,1572497732686.0,nfl,,Inactive,498200.0,95.0,"['DL', 'LB']",9378.0,Edebali,kasimedebali,,253,74,,9999999.0,,2199,,,8.0,,,,Kimball Union (NH),kasim,[],16570.0,DE,17141.0,,27923.0,25a958c9-4035-43ad-8c9c-1309ea592e66,#kasimedebali-NFL-FA-95,
New Mexico Highlands,,,Tyler,Tyler Slavin,,1992-01-29,,slavin,26.0,,,,False,,,,,nfl,,Inactive,542556.0,13.0,['WR'],10861.0,Slavin,tylerslavin,,215,"6'2""",,9999999.0,,2881,,,1.0,,,,,tyler,[],17349.0,WR,2516911.0,,29002.0,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,#tylerslavin-NFL-FA-13,
Boise State,,SEA,DeMarcus,DeMarcus Lawrence,,1992-04-28,651780.0,lawrence,33.0,,,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",True,00-0031411,,,1750009211759.0,nfl,1.0,Active,,0.0,['DL'],9344.0,Lawrence,demarcuslawrence,4306CF8AB318,254,75,,615.0,,2064,,LOLB,11.0,,,,Silver Bluff (SC),demarcus,[],16366.0,DE,16802.0,,27562.0,3e3bd10a-6462-47f8-8938-42518781d060,#demarcuslawrence-NFL-SEA-0,9633.0
North Texas,,,Lance,Lance Dunbar,,1990-01-25,,dunbar,30.0,,,,False,,,,1520632201229.0,nfl,,Inactive,468901.0,25.0,['RB'],8086.0,Dunbar,lancedunbar,,187,"5'8""",,9999999.0,,1284,,,8.0,,,,Haltom (TX),lance,[],14731.0,RB,15369.0,,26064.0,9f0f0495-b5b8-45c2-866b-02d9f96087f7,#lancedunbar-NFL-FA-25,7798.0
Alabama,,,DeAndrew,DeAndrew White,,1991-10-16,,white,30.0,,,{'channel_id': '1116852821904326656'},True,00-0031511,,,1598920530064.0,nfl,,Inactive,557177.0,18.0,['WR'],10243.0,White,deandrewwhite,,195,72,,9999999.0,Questionable,2801,,,7.0,Undisclosed,,,North Shore (TX),deandrew,[],17269.0,WR,2515962.0,,28800.0,e0abf267-f265-4682-9bb7-72bbcefda451,#deandrewwhite-NFL-FA-18,
Auburn,,,Devaroe,Devaroe Lawrence,,1992-10-13,835146.0,lawrence,29.0,,,{'channel_id': '1116852977559142400'},True,00-0033501,,,1627877117922.0,nfl,,Active,,0.0,['DL'],12173.0,Lawrence,devaroelawrence,,294,74,,1257.0,,4501,,,5.0,,,,Carolina (SC),devaroe,[],19373.0,DT,3121581.0,,30412.0,87c4b182-e4bc-4f35-97ec-8537a2665875,#devaroelawrence-NFL-FA-0,
Georgia,,,DeAndre,DeAndre Baker,,1997-09-04,880521.0,baker,24.0,,,{'channel_id': '1116853171138854912'},True, 00-0035684,,,1660181717555.0,nfl,,Active,,30.0,['DB'],13475.0,Baker,deandrebaker,,186,71,,9999999.0,,5852,,,3.0,,,,Miami Northwestern (FL),deandre,[],21020.0,CB,3915163.0,,31862.0,02d1b3c3-f292-4174-89fa-9ecc6286adb0,#deandrebaker-NFL-FA-30,
SMU,,,Taylor,Taylor Thompson,,1989-10-19,,thompson,27.0,,,,False,,,,,nfl,,Inactive,460898.0,84.0,['TE'],,Thompson,taylorthompson,,268,"6'6""",,9999999.0,,1073,,,3.0,,,,,taylor,[],13881.0,TE,15067.0,,,c2c65162-07df-48fb-93ce-86f340afb688,#taylorthompson-NFL-FA-84,
USC,,WAS,Kevon,Kevon Seymour,,1993-11-30,691066.0,seymour,31.0,,,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",True,00-0032942,,,1741821916913.0,nfl,2.0,Active,691066.0,29.0,['DB'],11170.0,Seymour,kevonseymour,0B131E4B26AA,185,72,,9999999.0,,3374,,RCB,9.0,,,,Muir (CA),kevon,[],18135.0,CB,2971603.0,,29452.0,e431a42b-5abe-49de-9c8c-f143f393591c,#kevonseymour-NFL-WAS-29,
Louisiana-Monroe,,,Corey,Corey Straughter,,1998-10-16,1067387.0,straughter,23.0,,,{'channel_id': '1116853451070898176'},True,,,,,nfl,,Active,,0.0,['DB'],15702.0,Straughter,coreystraughter,,183,70,,,,8012,,,1.0,,,,Neville (LA),corey,[],,CB,,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,#coreystraughter-NFL-FA-0,
Kentucky,,,A.J.,A.J. Rose,,1997-10-14,920059.0,rose,24.0,,,{'channel_id': '1116853435631665152'},True,,,,1661021115529.0,nfl,,Active,,24.0,['RB'],15350.0,Rose,ajrose,,212,73,,311.0,,7918,,,1.0,,,,Garfield Heights (OH),aj,[],,RB,,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,#ajrose-NFL-FA-24,
Colorado State,,,Erik,Erik Pears,,1982-06-25,,pears,38.0,,,,False,,,,,nfl,,Inactive,,71.0,['OL'],7124.0,Pears,erikpears,,316,"6'8""",,9999999.0,,777,,,15.0,,,,John F. Kennedy (CO),erik,[],12610.0,T,9399.0,,7588.0,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,#erikpears-NFL-FA-71,
South Florida,,LAR,Decarius,Decarius Hawthorne,,,,hawthorne,,,,"{'channel_id': '1238264321964769280', 'rookie_year': '0'}",True,,,,,nfl,,Active,,92.0,['DL'],19197.0,Hawthorne,decariushawthorne,,290,74,,9999999.0,,13229,,DL,0.0,,,,Center Point (AL),decarius,[],,DL,,,,3e838e40-4637-11f0-8b96-73caf6d6c117,#decariushawthorne-NFL-LAR-92,
Georgia Tech,,,Ricky,Ricky Jeune,,1993-12-03,,jeune,28.0,,,{'channel_id': '1116853100703907840'},True,,,,1535476203701.0,nfl,,Active,748570.0,2.0,['WR'],13096.0,Jeune,rickyjeune,,212,75,,9999999.0,,5428,,,4.0,,,,Saint Joseph Regional (NJ),ricky,[],20526.0,WR,3055908.0,,31388.0,e5395ca3-47d0-403b-84f5-41bfeba78e67,#rickyjeune-NFL-FA-2,
Oklahoma,,,Aaron,Aaron Colvin,,1991-10-02,,colvin,30.0,,,{'channel_id': '1116852771618816000'},True,00-0031259,,,1599351058114.0,nfl,,Active,542873.0,34.0,['DB'],9337.0,Colvin,aaroncolvin,,191,72,,9999999.0,,1982,,,8.0,,,,Owasso (OK),aaron,[],16249.0,CB,16900.0,,27642.0,76c630cf-0fd3-4210-a73d-9347da9d9d66,#aaroncolvin-NFL-FA-34,9348.0
Purdue,,,Marquis,Marquis Wilson,,,,wilson,,,,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",True,,,,,nfl,,Active,,,['DB'],,Wilson,marquiswilson,,185,71,,9999999.0,,12376,,,1.0,,,,Avon Old Farms (CT),marquis,[],,DB,,,,07923890-0e3a-11ef-9a4a-c565d3259077,#marquiswilson-NFL-FA,
Illinois State,,,Christian,Christian Uphoff,,1998-01-22,943834.0,uphoff,23.0,,,{'channel_id': '1116853428480376832'},True,,,,,nfl,,Active,,0.0,['DB'],15476.0,Uphoff,christianuphoff,,195,75,,,,7882,,,1.0,,,,Washington (IL),christian,[],,DB,,,,2b02fad4-574c-4a40-ab7d-43aca2142b66,#christianuphoff-NFL-FA-0,
Iowa State,,BAL,Jake,Jake Hummel,,1999-01-04,1058624.0,hummel,26.0,,,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",True,,,,1753806622728.0,nfl,2.0,Active,,35.0,['LB'],16270.0,Hummel,jakehummel,6592B272CCBB,235,73,,9999999.0,,8733,,RILB,3.0,,,,Dowling Catholic (IA),jake,[],,LB,,,,0c7ceb00-d207-11ec-ab20-b37737d70cc4,#jakehummel-NFL-BAL-35,
Miami (OH),,,Brett,Brett Gabbert,,2000-08-04,,gabbert,24.0,,,"{'channel_id': '1231394003711180800', 'rookie_year': '0'}",True,,,,1754250907948.0,nfl,,Active,,16.0,['QB'],19192.0,Gabbert,brettgabbert,0D57BED3D0B2DB99,206,72,,999.0,,13221,,,0.0,,,,Christian Brothers College (MO),brett,[],,QB,,,,08f0fef0-3748-11f0-9677-41d005293433,#brettgabbert-NFL-FA-16,
Kutztown,,,Jerome,Jerome Kapp,,1999-04-07,1448292.0,kapp,24.0,,,{'channel_id': '1116852698889584640'},True,,,,1693334405078.0,nfl,,Active,,31.0,['WR'],17644.0,Kapp,jeromekapp,,210,75,,622.0,,11522,,,1.0,,,,Boyertown Area Senior (PA),jerome,[],,WR,,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80,#jeromekapp-NFL-FA-31,
Delaware,,,Nick,Nick Boyle,,1993-02-17,608753.0,boyle,29.0,,,{'channel_id': '1116852808646131712'},True,00-0031598,,,1673388617497.0,nfl,,Active,608753.0,86.0,['TE'],10252.0,Boyle,nickboyle,,261,76,,9999999.0,,2474,,,8.0,,,,High Point Regional (NJ),nick,[],16931.0,TE,2574591.0,,28559.0,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,#nickboyle-NFL-FA-86,10547.0
Arkansas,,,Ty,Ty Clary,,1999-05-07,1060719.0,clary,25.0,,,"{'channel_id': '1116853538769600512', 'rookie_year': ''}",True,,,,,nfl,,Active,,0.0,['OL'],,Clary,tyclary,,299,76,,9999999.0,,8852,,,0.0,,,,Fayetteville (AR),ty,[],,OL,,,,c22d7080-d3b2-11ec-96a0-c3471a31202c,#tyclary-NFL-FA-0,
Harvard,,,Aaron,Aaron Shampklin,,1999-10-18,1051044.0,shampklin,25.0,,,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",True,,,,1747079435227.0,nfl,,Active,,33.0,['RB'],16367.0,Shampklin,aaronshampklin,8C27E3A10D7A,195,70,,9999999.0,,8809,,,3.0,,,,Long Beach Polytechnic (CA),aaron,[],,RB,,,,c09be300-d30d-11ec-8b77-45b1765fd110,#aaronshampklin-NFL-FA-33,
Penn State,,JAX,Parker,Parker Washington,,2002-03-21,1229074.0,washington,23.0,,,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",True,,,,1736200206659.0,nfl,4.0,Active,,11.0,['WR'],16690.0,Washington,parkerwashington,6C394246A6D8,204,70,,444.0,,9487,,SWR,2.0,,,,Travis (TX),parker,[],,WR,,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3,#parkerwashington-NFL-JAX-11,
Iowa,,CIN,Geno,Geno Stone,,1999-04-19,1059222.0,stone,26.0,,,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",True,,,,1736448939319.0,nfl,1.0,Active,,22.0,['DB'],14474.0,Stone,genostone,403AA74AF980,210,71,,628.0,,6923,,FS,5.0,,,,New Castle (PA),geno,[],21931.0,DB,4240575.0,,32889.0,95f3b8ac-e10f-4f0d-8650-b464b37ded86,#genostone-NFL-CIN-22,
Texas A&M,,,Johnny,Johnny Manziel,,1992-12-06,,manziel,27.0,,,,False,,,,1552834853016.0,nfl,,Inactive,593578.0,2.0,['QB'],9246.0,Manziel,johnnymanziel,,210,"6'0""",,9999999.0,,1907,,,6.0,,,,Tivy (TX),johnny,[],16135.0,QB,16736.0,,27550.0,7ebbfdef-1185-4896-a323-e6d5669a8345,#johnnymanziel-NFL-FA-2,9271.0
Northwestern,,,Joe,Joe Gaziano,,1996-09-27,880210.0,gaziano,28.0,,,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",True,,,,1733248229358.0,nfl,,Active,,97.0,['DL'],15065.0,Gaziano,joegaziano,4F578D605AAF,275,76,,9999999.0,,7325,,,5.0,,,,Xaverian Brothers (MA),joe,[],22317.0,DE,3915990.0,,32982.0,bab100c6-1a6c-4411-9286-f719244f5d35,#joegaziano-NFL-FA-97,
Miami (FL),,,Jarrid,Jarrid Williams,,1997-07-02,877900.0,williams,26.0,,,{'channel_id': '1116853519173812224'},True,,,,1691094646911.0,nfl,,Active,,76.0,['OL'],16329.0,Williams,jarridwilliams,,308,78,,9999999.0,,8716,,,1.0,,,,Cedar Hill (TX),jarrid,[],,OL,,,,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,#jarridwilliams-NFL-FA-76,
Toledo,,,Brock,Brock Ruble,,1996-01-07,,ruble,26.0,,,{'channel_id': '1116853286427688960'},True, 00-0035477,,,,nfl,,Active,,72.0,['OL'],14291.0,Ruble,brockruble,,325,80,,9999999.0,,6648,,,3.0,,,,DeMatha Catholic,brock,[],21539.0,OT,3122934.0,,32485.0,89fc014a-7d41-40c9-90d1-1459286813e2,#brockruble-NFL-FA-72,
Texas Tech,,,Jakeem,Jakeem Grant,,1992-10-30,605325.0,grant,32.0,,,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",True,00-0032791,,,1734242151808.0,nfl,,Active,605325.0,84.0,['WR'],10990.0,Grant,jakeemgrant,2CDE42756969,172,67,,662.0,,3342,,,8.0,,,,Horn (TX),jakeem,[],18103.0,WR,2577641.0,,29420.0,5de11f0b-8da9-42ba-9a93-db7f0a58543b,#jakeemgrant-NFL-FA-84,11475.0
Clemson,,,Jaron,Jaron Brown,,1990-01-08,,brown,32.0,,,{'channel_id': '1116852755042926592'},True,00-0030300,,,1602620149319.0,nfl,,Active,463514.0,18.0,['WR'],9046.0,Brown,jaronbrown,,205,75,,763.0,,1684,,,9.0,,,,Cheraw (SC),jaron,[],15509.0,WR,16172.0,,27074.0,51952c7b-11c5-4229-baf9-08d4694cc2ad,#jaronbrown-NFL-FA-18,8869.0
Minnesota,,JAX,Eric,Eric Murray,,1994-01-07,651636.0,murray,31.0,,,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",True,00-0033038,,,1741674361581.0,nfl,1.0,Active,,29.0,['DB'],11141.0,Murray,ericmurray,DFF0CE83247F,199,71,,9999999.0,,3268,,SS,9.0,,,,Riverside (WI),eric,[],18029.0,DB,2970716.0,,29340.0,16e4ffec-959d-4210-8702-36c0bf20dda5,#ericmurray-NFL-JAX-29,
Greenville,,,Nicholas,Nicholas Morrow,,1995-07-10,1050219.0,morrow,29.0,,,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",True,00-0033445,,,1735865416050.0,nfl,,Active,,43.0,['LB'],12428.0,Morrow,nicholasmorrow,DB8EDD57A8EC,216,72,,500.0,,4449,,,8.0,,,,Huntsville (AL),nicholas,[],19310.0,LB,4232830.0,,30633.0,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,#nicholasmorrow-NFL-FA-43,
Bowie State,,,Joshua,Joshua Pryor,,1999-10-25,1334826.0,pryor,24.0,,,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",True,,,,1700343030178.0,nfl,,Active,,47.0,['DL'],17615.0,Pryor,joshuapryor,C7E7375D12FB,280,76,,9999999.0,,11072,,,1.0,,,,Paul Laurence Dunbar (MD),joshua,[],,DL,,,,fa4e3720-e760-11ed-a510-95de71e69612,#joshuapryor-NFL-FA-47,
Washington,,IND,Salvon,Salvon Ahmed,,1998-12-30,1049246.0,ahmed,26.0,,,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",True,,,,1754253308118.0,nfl,5.0,Active,,36.0,['RB'],14453.0,Ahmed,salvonahmed,998715B4D91F,197,71,,999.0,Doubtful,6918,,RB,5.0,Lower Leg,,,Juanita (WA),salvon,[],21843.0,RB,4243315.0,,33265.0,0dbbd211-0372-4751-9751-e4df4ab1f8eb,#salvonahmed-NFL-IND-36,
Boston College,,,Tommy,Tommy Sweeney,,1995-07-01,836094.0,sweeney,29.0,,,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",True, 00-0035308,,,1729806320462.0,nfl,,Active,836094.0,87.0,['TE'],13667.0,Sweeney,tommysweeney,BAB992EBEF7A,255,77,,9999999.0,Out,6137,,,6.0,Undisclosed,,,Don Bosco Prep (NJ),tommy,[],20957.0,TE,3122818.0,,32060.0,ec63ee49-3a03-44ca-a083-3916f0bccd76,#tommysweeney-NFL-FA-87,
North Carolina A&T,,CLE,Jason,Jason Ivey,,,,ivey,,,,"{'channel_id': '1222062624800247808', 'rookie_year': '0'}",True,,,,,nfl,,Active,,72.0,['OL'],,Ivey,jasonivey,DD416D5CB3BFBAA4,300,77,,9999999.0,,12784,,OL,0.0,,,,South Mecklenburg (NC),jason,[],,OL,,,,692c0a10-2313-11f0-8b96-b1b768d28795,#jasonivey-NFL-CLE-72,
Georgia,,SF,Mykel,Mykel Williams,,2004-06-29,,williams,21.0,,,"{'channel_id': '1221352992523952128', 'rookie_year': '0', 'source_id': '54326870-84a6-11ec-a2e6-affc80bcd2fc'}",True,,,,1753841127080.0,nfl,1.0,Active,,98.0,['DL'],18584.0,Williams,mykelwilliams,8E27972C8FB706B4,267,79,,293.0,Questionable,12602,,RDE,0.0,Ankle,,,Hardaway (GA),mykel,[],,DL,,,,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,#mykelwilliams-NFL-SF-98,
South Florida,,,Brad,Brad Cecil,,1999-12-29,1124148.0,cecil,25.0,,,"{'channel_id': '1116852678471712768', 'rookie_year': '2023'}",True,,,,,nfl,,Active,,,['OL'],,Cecil,bradcecil,,300,76,,9999999.0,,11340,,,2.0,,,,Bartram Trail (FL),brad,[],,OL,,,,c242e360-ec6c-11ed-9b1c-797c54fc9d07,#bradcecil-NFL-FA,
James Madison,,NYG,Aaron,Aaron Stinnie,,1994-02-18,750486.0,stinnie,31.0,,,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",True,00-0034668,,,1743032417495.0,nfl,,Active,,64.0,"['OG', 'OL']",13303.0,Stinnie,aaronstinnie,15D6D87D37FB,312,75,,9999999.0,,5668,,OL,7.0,,,,St. Anne's-Belfield (VA),aaron,[],20379.0,G,3049339.0,,31619.0,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,#aaronstinnie-NFL-NYG-64,
Marshall,,TB,JJ,JJ Roberts,,2001-09-22,,roberts,23.0,,,"{'channel_id': '1223497110247190528', 'rookie_year': '0'}",True,,,,,nfl,,Active,,36.0,['DB'],19064.0,Roberts,jjroberts,9148DF6B7A1F3CAA,195,72,,699.0,,13132,,DB,0.0,,,,Cabell Midland (WV),jj,[],,DB,,,,266a09c0-262e-11f0-9779-dd9f3cf183b7,#jjroberts-NFL-TB-36,
East Carolina,,,Bryce,Bryce Williams,,1993-02-24,,williams,28.0,,,{'channel_id': '1116852875503337472'},True,00-0032583,,,1523486701657.0,nfl,,Active,609814.0,80.0,['TE'],10946.0,Williams,brycewilliams,,258,78,,9999999.0,,3561,,,6.0,,,,North Davidson,bryce,[],18334.0,TE,2981998.0,,29879.0,a204547e-ecd3-4116-909a-ce823caa9067,#brycewilliams-NFL-FA-80,
Stanford,,,Ryan,Ryan Whalen,,1989-07-26,,whalen,29.0,,,,False,,,,,nfl,,Inactive,,81.0,['WR'],7411.0,Whalen,ryanwhalen,,202,"6'1""",,9999999.0,,832,,,3.0,,,,,ryan,[],12857.0,WR,14131.0,,24954.0,4a99b4bf-e03e-4253-8b9b-c070ef796daf,#ryanwhalen-NFL-FA-81,
Texas,,PHI,Cameron,Cameron Williams,,2003-10-16,,williams,21.0,,,"{'channel_id': '1221987078728855552', 'rookie_year': '0', 'source_id': 'cfa4c670-8f54-11ec-9f33-1965c9c46e44'}",True,,,,1745702136125.0,nfl,,Active,,73.0,['OL'],18504.0,Williams,cameronwilliams,E4D4B612B4AACB3B,317,77,,9999999.0,,12586,,OL,0.0,,,,Duncanville (TX),cameron,[],,OL,,,,8b7504e3-c5ce-4e91-90d1-2bd8e975c5ed,#cameronwilliams-NFL-PHI-73,
,,,Duplicate,Duplicate Player,,,,player,,,,,False,,,,,nfl,,Inactive,820437.0,0.0,,,Player,duplicateplayer,,,,,9999999.0,,6751,,,0.0,,,,,duplicate,[],21668.0,,,,,,#duplicateplayer-NFL-FA-0,12292.0
Stanford,,NO,Kyle,Kyle Murphy,,1993-12-11,691007.0,murphy,28.0,,,{'channel_id': '1116852854489874432'},True,00-0032433,,,1640054416821.0,nfl,,Active,,79.0,"['OL', 'OT']",11140.0,Murphy,kylemurphy,,305,78,,9999999.0,,3356,,,6.0,,,,San Clemente (CA),kyle,[],18117.0,OT,2978275.0,,29434.0,cce52ea1-7e17-4992-8911-e6b07b7b3831,#kylemurphy-NFL-NO-79,
