competitions,news_updated,gsis_id,years_exp,last_name,weight,depth_chart_position,depth_chart_order,age,active,injury_notes,college,sportradar_id,first_name,practice_description,kalshi_id,player_id,stats_id,status,team_abbr,injury_body_part,metadata,search_last_name,birth_date,team_changed_at,birth_city,rotoworld_id,oddsjam_id,search_first_name,injury_start_date,espn_id,sport,height,opta_id,birth_state,team,injury_status,search_rank,fantasy_data_id,high_school,swish_id,position,hashtag,rotowire_id,number,birth_country,practice_participation,full_name,search_full_name,pandascore_id,fantasy_positions,yahoo_id,norm_name
[],1721609703351.0,,4.0,White,211,,,27.0,True,,UNLV,3f95afdc-2140-424b-8250-7d4e273c2efc,Javin,,,7311,,Active,,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",white,1997-02-21,,,,8ADDCA292DD5,javin,,3921709.0,nfl,74,,,,,9999999.0,22303.0,McClymonds (CA),881687.0,LB,#javinwhite-NFL-FA-60,14902.0,60.0,,,Javin White,javinwhite,,"['DB', 'LB']",33318.0,javin white
[],1641345029845.0, 00-0031052,8.0,Breeland,197,,,30.0,True,,Clemson,ba905b34-8412-4553-9055-3460368cc608,Bashaud,,,2091,560235.0,Active,,,{'channel_id': '1116852779298586624'},breeland,1992-01-30,,,9585.0,,bashaud,,16890.0,nfl,71,,,ARI,,9999999.0,16407.0,Allendale-Fairfax (SC),560235.0,CB,#bashaudbreeland-NFL-ARI-24,9648.0,24.0,,,Bashaud Breeland,bashaudbreeland,,['DB'],27630.0,bashaud breeland
[],,,0.0,Dent,215,,,24.0,True,,Tennessee-Martin,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,Kinkead,,,13175,,Active,,,"{'channel_id': '1225943136610562048', 'rookie_year': '0'}",dent,2000-07-27,,,,,kinkead,,,nfl,76,,,,,9999999.0,,Jackson Academy (MS),,QB,#kinkeaddent-NFL-FA,,,,,Kinkead Dent,kinkeaddent,,['QB'],,kinkead dent
[],1760942161583.0,,2.0,Aubrey,218,K,1.0,30.0,True,,Notre Dame,110e6fe0-1c34-11ee-8294-af17faac15de,Brandon,,8ab98460-cf9f-4895-a793-c2deda5b200b,11533,,Active,,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",aubrey,1995-03-14,,,,872D94B3727D,brandon,,,nfl,75,,,DAL,,100.0,24902.0,Plano Senior (TX),1454349.0,K,#brandonaubrey-NFL-DAL-17,17649.0,17.0,,,Brandon Aubrey,brandonaubrey,,['K'],,brandon aubrey
[],,,5.0,Herrera,249,,,28.0,False,,Georgia,faf5f854-73af-4ab9-8f19-95ea75431d45,Amarlo,,,2508,,Inactive,,,,herrera,1991-09-20,,,,,amarlo,,2578542.0,nfl,"6'1""",,,,,9999999.0,16967.0,North Clayton,,LB,#amarloherrera-NFL-FA-56,10372.0,56.0,,,Amarlo Herrera,amarloherrera,,['LB'],28595.0,amarlo herrera
[],1572497732686.0,00-0031255,8.0,Edebali,253,,,32.0,True,,Boston College,25a958c9-4035-43ad-8c9c-1309ea592e66,Kasim,,,2199,498200.0,Inactive,,,{'channel_id': '1116852786479235072'},edebali,1989-08-17,,,,,kasim,,17141.0,nfl,74,,,,,9999999.0,16570.0,Kimball Union (NH),,DE,#kasimedebali-NFL-FA-95,9378.0,95.0,,,Kasim Edebali,kasimedebali,,"['DL', 'LB']",27923.0,kasim edebali
[],,,1.0,Slavin,215,,,26.0,False,,New Mexico Highlands,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,Tyler,,,2881,542556.0,Inactive,,,,slavin,1992-01-29,,,,,tyler,,2516911.0,nfl,"6'2""",,,,,9999999.0,17349.0,,,WR,#tylerslavin-NFL-FA-13,10861.0,13.0,,,Tyler Slavin,tylerslavin,,['WR'],29002.0,tyler slavin
[],1761269724820.0,00-0031411,11.0,Lawrence,254,LOLB,1.0,33.0,True,,Boise State,3e3bd10a-6462-47f8-8938-42518781d060,DeMarcus,,8657e120-393b-46b0-bd01-5f2dd6b4aca1,2064,,Active,,,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",lawrence,1992-04-28,,,9633.0,4306CF8AB318,demarcus,,16802.0,nfl,75,,,SEA,,570.0,16366.0,Silver Bluff (SC),651780.0,DE,#demarcuslawrence-NFL-SEA-0,9344.0,0.0,,,DeMarcus Lawrence,demarcuslawrence,,['DL'],27562.0,demarcus lawrence
[],1520632201229.0,,8.0,Dunbar,187,,,30.0,False,,North Texas,9f0f0495-b5b8-45c2-866b-02d9f96087f7,Lance,,,1284,468901.0,Inactive,,,,dunbar,1990-01-25,,,7798.0,,lance,,15369.0,nfl,"5'8""",,,,,9999999.0,14731.0,Haltom (TX),,RB,#lancedunbar-NFL-FA-25,8086.0,25.0,,,Lance Dunbar,lancedunbar,,['RB'],26064.0,lance dunbar
[],1598920530064.0,00-0031511,7.0,White,195,,,30.0,True,,Alabama,e0abf267-f265-4682-9bb7-72bbcefda451,DeAndrew,,,2801,557177.0,Inactive,,Undisclosed,{'channel_id': '1116852821904326656'},white,1991-10-16,,,,,deandrew,,2515962.0,nfl,72,,,,Questionable,9999999.0,17269.0,North Shore (TX),,WR,#deandrewwhite-NFL-FA-18,10243.0,18.0,,,DeAndrew White,deandrewwhite,,['WR'],28800.0,deandrew white
[],1627877117922.0,00-0033501,5.0,Lawrence,294,,,29.0,True,,Auburn,87c4b182-e4bc-4f35-97ec-8537a2665875,Devaroe,,,4501,,Active,,,{'channel_id': '1116852977559142400'},lawrence,1992-10-13,,,,,devaroe,,3121581.0,nfl,74,,,,,1257.0,19373.0,Carolina (SC),835146.0,DT,#devaroelawrence-NFL-FA-0,12173.0,0.0,,,Devaroe Lawrence,devaroelawrence,,['DL'],30412.0,devaroe lawrence
[],1660181717555.0, 00-0035684,3.0,Baker,186,,,24.0,True,,Georgia,02d1b3c3-f292-4174-89fa-9ecc6286adb0,DeAndre,,,5852,,Active,,,{'channel_id': '1116853171138854912'},baker,1997-09-04,,,,,deandre,,3915163.0,nfl,71,,,,,9999999.0,21020.0,Miami Northwestern (FL),880521.0,CB,#deandrebaker-NFL-FA-30,13475.0,30.0,,,DeAndre Baker,deandrebaker,,['DB'],31862.0,deandre baker
[],,,3.0,Thompson,268,,,27.0,False,,SMU,c2c65162-07df-48fb-93ce-86f340afb688,Taylor,,,1073,460898.0,Inactive,,,,thompson,1989-10-19,,,,,taylor,,15067.0,nfl,"6'6""",,,,,9999999.0,13881.0,,,TE,#taylorthompson-NFL-FA-84,,84.0,,,Taylor Thompson,taylorthompson,,['TE'],,taylor thompson
[],1755740717239.0,00-0032942,9.0,Seymour,188,,,31.0,True,,USC,e431a42b-5abe-49de-9c8c-f143f393591c,Kevon,,d3ace602-f6d2-49e5-8f05-b9573ecabf9a,3374,691066.0,Inactive,,Undisclosed,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",seymour,1993-11-30,,,,0B131E4B26AA,kevon,,2971603.0,nfl,72,,,,Questionable,9999999.0,18135.0,Muir (CA),691066.0,CB,#kevonseymour-NFL-FA-29,11170.0,29.0,,,Kevon Seymour,kevonseymour,,['DB'],29452.0,kevon seymour
[],,,1.0,Straughter,183,,,23.0,True,,Louisiana-Monroe,a01a9064-c0c3-4f3e-8753-89f5859879f9,Corey,,,8012,,Active,,,{'channel_id': '1116853451070898176'},straughter,1998-10-16,,,,,corey,,,nfl,70,,,,,,,Neville (LA),1067387.0,CB,#coreystraughter-NFL-FA-0,15702.0,0.0,,,Corey Straughter,coreystraughter,,['DB'],,corey straughter
[],1661021115529.0,,1.0,Rose,212,,,24.0,True,,Kentucky,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,A.J.,,,7918,,Active,,,{'channel_id': '1116853435631665152'},rose,1997-10-14,,,,,aj,,,nfl,73,,,,,311.0,,Garfield Heights (OH),920059.0,RB,#ajrose-NFL-FA-24,15350.0,24.0,,,A.J. Rose,ajrose,,['RB'],,aj rose
[],,,15.0,Pears,316,,,38.0,False,,Colorado State,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,Erik,,,777,,Inactive,,,,pears,1982-06-25,,,,,erik,,9399.0,nfl,"6'8""",,,,,9999999.0,12610.0,John F. Kennedy (CO),,T,#erikpears-NFL-FA-71,7124.0,71.0,,,Erik Pears,erikpears,,['OL'],7588.0,erik pears
[],1756107953603.0,,0.0,Hawthorne,290,,,,True,,South Florida,3e838e40-4637-11f0-8b96-73caf6d6c117,Decarius,,7b611cb8-466d-4ebe-8f89-c68258095c93,13229,,Active,,,"{'channel_id': '1238264321964769280', 'rookie_year': '2025'}",hawthorne,,,,,,decarius,,,nfl,74,,,,,9999999.0,,Center Point (AL),,DL,#decariushawthorne-NFL-FA-92,19197.0,92.0,,,Decarius Hawthorne,decariushawthorne,,['DL'],,decarius hawthorne
[],1535476203701.0,,4.0,Jeune,212,,,28.0,True,,Georgia Tech,e5395ca3-47d0-403b-84f5-41bfeba78e67,Ricky,,,5428,748570.0,Active,,,{'channel_id': '1116853100703907840'},jeune,1993-12-03,,,,,ricky,,3055908.0,nfl,75,,,,,9999999.0,20526.0,Saint Joseph Regional (NJ),,WR,#rickyjeune-NFL-FA-2,13096.0,2.0,,,Ricky Jeune,rickyjeune,,['WR'],31388.0,ricky jeune
[],1599351058114.0,00-0031259,8.0,Colvin,191,,,30.0,True,,Oklahoma,76c630cf-0fd3-4210-a73d-9347da9d9d66,Aaron,,,1982,542873.0,Active,,,{'channel_id': '1116852771618816000'},colvin,1991-10-02,,,9348.0,,aaron,,16900.0,nfl,72,,,,,9999999.0,16249.0,Owasso (OK),,CB,#aaroncolvin-NFL-FA-34,9337.0,34.0,,,Aaron Colvin,aaroncolvin,,['DB'],27642.0,aaron colvin
[],,,1.0,Wilson,185,,,,True,,Purdue,07923890-0e3a-11ef-9a4a-c565d3259077,Marquis,,,12376,,Active,,,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",wilson,,,,,,marquis,,,nfl,71,,,,,9999999.0,,Avon Old Farms (CT),,DB,#marquiswilson-NFL-FA,,,,,Marquis Wilson,marquiswilson,,['DB'],,marquis wilson
[],,,1.0,Uphoff,195,,,23.0,True,,Illinois State,2b02fad4-574c-4a40-ab7d-43aca2142b66,Christian,,,7882,,Active,,,{'channel_id': '1116853428480376832'},uphoff,1998-01-22,,,,,christian,,,nfl,75,,,,,,,Washington (IL),943834.0,DB,#christianuphoff-NFL-FA-0,15476.0,0.0,,,Christian Uphoff,christianuphoff,,['DB'],,christian uphoff
[],1753806622728.0,,3.0,Hummel,235,RILB,2.0,26.0,True,,Iowa State,0c7ceb00-d207-11ec-ab20-b37737d70cc4,Jake,,4c9cd475-5b22-4560-959d-52b91a7344cd,8733,,Active,,,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",hummel,1999-01-04,,,,6592B272CCBB,jake,,,nfl,73,,,BAL,,9999999.0,23646.0,Dowling Catholic (IA),1058624.0,LB,#jakehummel-NFL-BAL-35,16270.0,35.0,,,Jake Hummel,jakehummel,,['LB'],,jake hummel
[],1754250907948.0,,0.0,Gabbert,206,,,24.0,True,,Miami (OH),08f0fef0-3748-11f0-9677-41d005293433,Brett,,b78d326c-47b1-4197-bfba-8e3c393cbd39,13221,,Active,,,"{'channel_id': '1231394003711180800', 'rookie_year': '0'}",gabbert,2000-08-04,,,,0D57BED3D0B2DB99,brett,,,nfl,72,,,,,999.0,,Christian Brothers College (MO),,QB,#brettgabbert-NFL-FA-16,19192.0,16.0,,,Brett Gabbert,brettgabbert,,['QB'],,brett gabbert
[],1693334405078.0,,1.0,Kapp,210,,,24.0,True,,Kutztown,64c0ef00-fa65-11ed-b161-c5ef733b4e80,Jerome,,,11522,,Active,,,{'channel_id': '1116852698889584640'},kapp,1999-04-07,,,,,jerome,,,nfl,75,,,,,622.0,,Boyertown Area Senior (PA),1448292.0,WR,#jeromekapp-NFL-FA-31,17644.0,31.0,,,Jerome Kapp,jeromekapp,,['WR'],,jerome kapp
[],1673388617497.0,00-0031598,8.0,Boyle,261,,,29.0,True,,Delaware,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,Nick,,,2474,608753.0,Active,,,{'channel_id': '1116852808646131712'},boyle,1993-02-17,,,10547.0,,nick,,2574591.0,nfl,76,,,,,9999999.0,16931.0,High Point Regional (NJ),608753.0,TE,#nickboyle-NFL-FA-86,10252.0,86.0,,,Nick Boyle,nickboyle,,['TE'],28559.0,nick boyle
[],,,0.0,Clary,299,,,25.0,True,,Arkansas,c22d7080-d3b2-11ec-96a0-c3471a31202c,Ty,,,8852,,Active,,,"{'channel_id': '1116853538769600512', 'rookie_year': ''}",clary,1999-05-07,,,,,ty,,,nfl,76,,,,,9999999.0,,Fayetteville (AR),1060719.0,OL,#tyclary-NFL-FA-0,,0.0,,,Ty Clary,tyclary,,['OL'],,ty clary
[],1756225808845.0,,3.0,Shampklin,195,,,25.0,True,,Harvard,c09be300-d30d-11ec-8b77-45b1765fd110,Aaron,,5933b078-dcce-4bfe-9d7f-a50bac96cfe3,8809,,Active,,,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",shampklin,1999-10-18,,,,8C27E3A10D7A,aaron,,,nfl,70,,,,,672.0,,Long Beach Polytechnic (CA),1051044.0,RB,#aaronshampklin-NFL-FA-48,16367.0,48.0,,,Aaron Shampklin,aaronshampklin,,['RB'],,aaron shampklin
[],1760899254616.0,,2.0,Washington,204,SWR,4.0,23.0,True,,Penn State,c05863ec-3414-4ae6-a8d2-830aed99b6d3,Parker,,6599a162-f520-46bf-8858-83777c92bd54,9487,,Active,,,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",washington,2002-03-21,,,,6C394246A6D8,parker,,,nfl,70,,,JAX,,444.0,24143.0,Travis (TX),1229074.0,WR,#parkerwashington-NFL-JAX-11,16690.0,11.0,,,Parker Washington,parkerwashington,,['WR'],,parker washington
[],1760757303636.0,,5.0,Stone,210,FS,1.0,26.0,True,,Iowa,95f3b8ac-e10f-4f0d-8650-b464b37ded86,Geno,,8501baf3-7e07-4cad-b179-fff54a63eb89,6923,,Active,,,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",stone,1999-04-19,,,,403AA74AF980,geno,,4240575.0,nfl,71,,,CIN,,624.0,21931.0,New Castle (PA),1059222.0,DB,#genostone-NFL-CIN-22,14474.0,22.0,,,Geno Stone,genostone,,['DB'],32889.0,geno stone
[],1552834853016.0,,6.0,Manziel,210,,,27.0,False,,Texas A&M,7ebbfdef-1185-4896-a323-e6d5669a8345,Johnny,,,1907,593578.0,Inactive,,,,manziel,1992-12-06,,,9271.0,,johnny,,16736.0,nfl,"6'0""",,,,,9999999.0,16135.0,Tivy (TX),,QB,#johnnymanziel-NFL-FA-2,9246.0,2.0,,,Johnny Manziel,johnnymanziel,,['QB'],27550.0,johnny manziel
[],1754644241341.0,,5.0,Gaziano,280,,,28.0,True,,Northwestern,bab100c6-1a6c-4411-9286-f719244f5d35,Joe,,74473a55-e757-43b5-b910-0c00eabafb72,7325,,Active,,,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",gaziano,1996-09-27,,,,4F578D605AAF,joe,,3915990.0,nfl,76,,,,,9999999.0,22317.0,Xaverian Brothers (MA),880210.0,DE,#joegaziano-NFL-FA-90,15065.0,90.0,,,Joe Gaziano,joegaziano,,['DL'],32982.0,joe gaziano
[],1691094646911.0,,1.0,Williams,308,,,26.0,True,,Miami (FL),120caef0-ce1c-11ec-bebb-4fec1e38b0e5,Jarrid,,,8716,,Active,,,{'channel_id': '1116853519173812224'},williams,1997-07-02,,,,,jarrid,,,nfl,78,,,,,9999999.0,,Cedar Hill (TX),877900.0,OL,#jarridwilliams-NFL-FA-76,16329.0,76.0,,,Jarrid Williams,jarridwilliams,,['OL'],,jarrid williams
[],, 00-0035477,3.0,Ruble,325,,,26.0,True,,Toledo,89fc014a-7d41-40c9-90d1-1459286813e2,Brock,,,6648,,Active,,,{'channel_id': '1116853286427688960'},ruble,1996-01-07,,,,,brock,,3122934.0,nfl,80,,,,,9999999.0,21539.0,DeMatha Catholic,,OT,#brockruble-NFL-FA-72,14291.0,72.0,,,Brock Ruble,brockruble,,['OL'],32485.0,brock ruble
[],1734242151808.0,00-0032791,8.0,Grant,172,,,32.0,True,,Texas Tech,5de11f0b-8da9-42ba-9a93-db7f0a58543b,Jakeem,,,3342,605325.0,Active,,,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",grant,1992-10-30,,,11475.0,2CDE42756969,jakeem,,2577641.0,nfl,67,,,,,662.0,18103.0,Horn (TX),605325.0,WR,#jakeemgrant-NFL-FA-84,10990.0,84.0,,,Jakeem Grant,jakeemgrant,,['WR'],29420.0,jakeem grant
[],1602620149319.0,00-0030300,9.0,Brown,205,,,32.0,True,,Clemson,51952c7b-11c5-4229-baf9-08d4694cc2ad,Jaron,,,1684,463514.0,Active,,,{'channel_id': '1116852755042926592'},brown,1990-01-08,,,8869.0,,jaron,,16172.0,nfl,75,,,,,763.0,15509.0,Cheraw (SC),,WR,#jaronbrown-NFL-FA-18,9046.0,18.0,,,Jaron Brown,jaronbrown,,['WR'],27074.0,jaron brown
[],1760890818087.0,00-0033038,9.0,Murray,199,FS,1.0,31.0,True,,Minnesota,16e4ffec-959d-4210-8702-36c0bf20dda5,Eric,,99a4e7d9-42da-4f89-8633-f7a6dddade6a,3268,,Active,,Neck,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",murray,1994-01-07,,,,DFF0CE83247F,eric,,2970716.0,nfl,71,,,JAX,Questionable,9999999.0,18029.0,Riverside (WI),651636.0,DB,#ericmurray-NFL-JAX-29,11141.0,29.0,,,Eric Murray,ericmurray,,['DB'],29340.0,eric murray
[],1735865416050.0,00-0033445,8.0,Morrow,216,,,29.0,True,,Greenville,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,Nicholas,,,4449,,Active,,,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",morrow,1995-07-10,,,,DB8EDD57A8EC,nicholas,,4232830.0,nfl,72,,,,,500.0,19310.0,Huntsville (AL),1050219.0,LB,#nicholasmorrow-NFL-FA-43,12428.0,43.0,,,Nicholas Morrow,nicholasmorrow,,['LB'],30633.0,nicholas morrow
[],1700343030178.0,,1.0,Pryor,280,,,24.0,True,,Bowie State,fa4e3720-e760-11ed-a510-95de71e69612,Joshua,,,11072,,Active,,,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",pryor,1999-10-25,,,,C7E7375D12FB,joshua,,,nfl,76,,,,,9999999.0,,Paul Laurence Dunbar (MD),1334826.0,DL,#joshuapryor-NFL-FA-47,17615.0,47.0,,,Joshua Pryor,joshuapryor,,['DL'],,joshua pryor
[],1754694945192.0,,5.0,Ahmed,197,RB,5.0,26.0,True,,Washington,0dbbd211-0372-4751-9751-e4df4ab1f8eb,Salvon,,bcea8876-5fa5-4a1b-a7e5-c182a2a2bc35,6918,,Inactive,,Ankle,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",ahmed,1998-12-30,,,,998715B4D91F,salvon,,4243315.0,nfl,71,,,IND,IR,578.0,21843.0,Juanita (WA),1049246.0,RB,#salvonahmed-NFL-IND-36,14453.0,36.0,,,Salvon Ahmed,salvonahmed,,['RB'],33265.0,salvon ahmed
[],1729806320462.0, 00-0035308,6.0,Sweeney,255,,,29.0,True,,Boston College,ec63ee49-3a03-44ca-a083-3916f0bccd76,Tommy,,,6137,836094.0,Active,,Undisclosed,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",sweeney,1995-07-01,,,,BAB992EBEF7A,tommy,,3122818.0,nfl,77,,,,Out,9999999.0,20957.0,Don Bosco Prep (NJ),836094.0,TE,#tommysweeney-NFL-FA-87,13667.0,87.0,,,Tommy Sweeney,tommysweeney,,['TE'],32060.0,tommy sweeney
[],,,0.0,Ivey,300,,,,True,,North Carolina A&T,692c0a10-2313-11f0-8b96-b1b768d28795,Jason,,bf4867ef-319c-46a1-b13d-95e9d196fb92,12784,,Active,,,"{'channel_id': '1222062624800247808', 'rookie_year': '2025'}",ivey,,,,,DD416D5CB3BFBAA4,jason,,,nfl,77,,,,,9999999.0,,South Mecklenburg (NC),,OL,#jasonivey-NFL-FA-72,,72.0,,,Jason Ivey,jasonivey,,['OL'],,jason ivey
[],1759184144207.0,,0.0,Williams,267,RDE,1.0,21.0,True,,Georgia,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,Mykel,,6ab0ff51-a9df-494f-833d-8f6d8bd6649c,12602,,Active,,,"{'channel_id': '1221352992523952128', 'rookie_year': '2025', 'source_id': '54326870-84a6-11ec-a2e6-affc80bcd2fc'}",williams,2004-06-29,,,,8E27972C8FB706B4,mykel,,,nfl,77,,,SF,,335.0,25996.0,Hardaway (GA),,DL,#mykelwilliams-NFL-SF-98,18584.0,98.0,,,Mykel Williams,mykelwilliams,,['DL'],,mykel williams
[],,,2.0,Cecil,300,,,25.0,True,,South Florida,c242e360-ec6c-11ed-9b1c-797c54fc9d07,Brad,,,11340,,Active,,,"{'channel_id': '1116852678471712768', 'rookie_year': '2023'}",cecil,1999-12-29,,,,,brad,,,nfl,76,,,,,9999999.0,,Bartram Trail (FL),1124148.0,OL,#bradcecil-NFL-FA,,,,,Brad Cecil,bradcecil,,['OL'],,brad cecil
[],1743032417495.0,00-0034668,7.0,Stinnie,312,OL,,31.0,True,,James Madison,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,Aaron,,ef76f3a4-3ef6-44b5-9149-7ae9c819b5f6,5668,,Active,,,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",stinnie,1994-02-18,,,,15D6D87D37FB,aaron,,3049339.0,nfl,75,,,NYG,,9999999.0,20379.0,St. Anne's-Belfield (VA),750486.0,G,#aaronstinnie-NFL-NYG-64,13303.0,64.0,,,Aaron Stinnie,aaronstinnie,,"['OG', 'OL']",31619.0,aaron stinnie
[],1755570034925.0,,0.0,Roberts,195,DB,,24.0,True,,Marshall,266a09c0-262e-11f0-9779-dd9f3cf183b7,JJ,,d5ad5509-dfa8-4054-aa57-be2f1c89927c,13132,,Inactive,,Knee,"{'channel_id': '1223497110247190528', 'rookie_year': '2025'}",roberts,2001-09-22,,,,9148DF6B7A1F3CAA,jj,,,nfl,72,,,TB,IR,699.0,26287.0,Cabell Midland (WV),,DB,#jjroberts-NFL-TB-36,19064.0,36.0,,,JJ Roberts,jjroberts,,['DB'],,jj roberts
[],1523486701657.0,00-0032583,6.0,Williams,258,,,28.0,True,,East Carolina,a204547e-ecd3-4116-909a-ce823caa9067,Bryce,,,3561,609814.0,Active,,,{'channel_id': '1116852875503337472'},williams,1993-02-24,,,,,bryce,,2981998.0,nfl,78,,,,,9999999.0,18334.0,North Davidson,,TE,#brycewilliams-NFL-FA-80,10946.0,80.0,,,Bryce Williams,brycewilliams,,['TE'],29879.0,bryce williams
